order_id,customer_id,customer_name,customer_email,age,gender,country,order_date,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,payment_method,shipping_method,order_status,rating,month,is_discounted,order_month,order_dayofweek,revenue_per_unit,is_returned,is_cancelled,year,quarter,week_of_year,is_weekend,days_since_start,month_sin,month_cos,day_sin,day_cos,category_enc,gender_enc,country_enc,payment_method_enc,shipping_method_enc
ORD-01496,CUST-0189,Arthur Ellis,fgutierrez@example.net,1.6933333343347805,Male,Mexico,2023-06-01,PRD-3413,USB Hub,Electronics,-1.3704166450512134,2.361283445379479,-0.9887929897294574,0.4162378082329962,Debit Card,Overnight,Delivered,4.0,2023-06,0,-0.15585852760996183,0.04016223263218417,1068.04,0,0,2023.0,2.0,22,0,516.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,2,1,5,3,2
ORD-00544,CUST-0275,Michael Green,Unknown,-0.822725981555585,Male,Mexico,2023-12-20,PRD-4145,Python for Beginners,Books,1.4464726561845795,-0.620336576213497,-0.9887929897294574,-0.5023082736300299,Debit Card,Express,Delivered,,2023-12,0,1.5579835057227458,-0.45715097839590596,13.1,0,0,2023.0,4.0,51,0,718.0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,0,1,5,3,0
ORD-01269,CUST-0229,Kimberly Dudley,Unknown,-0.8989702032492324,Female,Canada,2023-10-12,PRD-4148,Data Science Handbook,Books,0.7422503308756314,-0.5762739222837622,1.6749812282917105,-0.48346165114721373,Debit Card,Free Shipping,Returned,5.0,2023-10,1,0.9867028279451765,0.04016223263218417,21.517500000000002,1,0,2023.0,4.0,41,0,649.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,0,2,3,1
ORD-00529,CUST-0115,Anna Reilly,robert33@example.org,1.3883564475601906,Male,Colombia,2023-10-24,PRD-9948,Jacket,Clothing,-1.3704166450512134,-0.5741824300510486,-0.9887929897294574,-0.5353562888441853,Credit Card,Overnight,Delivered,,2023-10,0,0.9867028279451765,-0.9544641894239961,29.43,0,0,2023.0,4.0,43,0,661.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,1,3,2,2
ORD-01095,CUST-0352,Robert Hanson,patriciagilbert@example.org,-0.06028376461911057,Male,USA,2023-05-07,PRD-2122,Coffee Maker,Home & Kitchen,0.7422503308756314,-0.3015818545845363,0.07671669747900971,-0.1471195305737173,Cash On Delivery,Free Shipping,Delivered,4.0,2023-05,1,-0.4414988664987464,1.5321018657164545,113.292,0,0,2023.0,2.0,18,1,491.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,3,1,7,1,1
ORD-00808,CUST-0010,Audrey Terrell,hallison@example.com,-1.6614124201857068,Male,Argentina,2022-08-01,PRD-3710,Protein Powder,Sports,-0.6661943197422652,-0.1773641740064832,1.1422263846874767,-0.3133582852301175,Paypal,Express,Delivered,2.0,2022-08,1,0.41542215016760736,-1.4517774004520863,135.864,0,0,2022.0,3.0,31,0,212.0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,4,1,0,4,0
ORD-01377,CUST-0255,Arthur Shields,amanda81@example.org,-0.67023753816829,Male,Germany,2022-08-30,PRD-8929,Running Shoes,Sports,0.7422503308756314,-0.3280364049875073,-0.9887929897294574,-0.13528931231906874,Bank Transfer,Unknown,Shipped,1.0,2022-08,0,0.41542215016760736,-0.9544641894239961,116.52,0,0,2022.0,3.0,35,0,241.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,4,1,4,0,4
ORD-00603,CUST-0195,Steven Chang,iwest@example.org,-1.203947090023822,Male,USA,2023-03-25,PRD-2758,Tablet,Electronics,-0.6661943197422652,2.349638921056804,-0.45603814612522386,1.2897682237943346,Cash On Delivery,Free Shipping,Cancelled,4.0,2023-03,1,-1.0127795442763157,1.0347886546883645,1010.724,0,1,2023.0,1.0,12,1,448.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2,1,7,1,1
ORD-01204,CUST-0227,Alan Fletcher,fordkendra@example.org,1.617089112641133,Other,Colombia,2022-01-04,PRD-7809,SQL Mastery,Books,-1.3704166450512134,-0.6063461889811566,-0.9887929897294574,-0.5457828597656461,Credit Card,Standard,Delivered,,2022-01,0,-1.5840602220538849,-0.9544641894239961,18.05,0,0,2022.0,1.0,1,0,3.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,2,3,2,3
ORD-01175,CUST-0254,Jason Pitts,juan68@example.com,-1.0514586466365272,Other,Germany,2023-12-15,PRD-9229,Headphones,Electronics,-1.3704166450512134,0.8270891024584606,0.6094715410832433,-0.15328659989466212,Debit Card,Free Shipping,Delivered,5.0,2023-12,1,1.5579835057227458,0.5374754436602743,446.437,0,0,2023.0,4.0,50,0,713.0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,2,2,4,3,1
ORD-00429,CUST-0005,Amber Sanchez,Unknown,0.3209373438491266,Female,Argentina,2023-02-02,PRD-9512,Smartwatch,Electronics,-1.3704166450512134,0.9910168720495203,-0.45603814612522386,-0.054681290957100975,Debit Card,Express,Processing,5.0,2023-02,1,-1.2984198831651002,0.04016223263218417,554.059,0,0,2023.0,1.0,5,0,397.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,2,0,0,3,0
ORD-01409,CUST-0196,Stephen Price,turnertyler@example.com,0.015960457074536867,Other,Argentina,2022-12-10,PRD-4411,Blender,Home & Kitchen,-0.6661943197422652,-0.2809213029343527,1.1422263846874767,-0.36707070119670043,Paypal,Express,Cancelled,,2022-12,1,1.5579835057227458,1.0347886546883645,106.552,0,1,2022.0,4.0,49,1,343.0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,3,2,0,4,0
ORD-01293,CUST-0196,Michael Lewis,farmerjustin@example.com,0.4734257872364215,Male,Germany,2022-05-23,PRD-1566,Yoga Mat,Sports,0.038028005566683086,-0.4462622429529216,-0.9887929897294574,-0.35702344489399934,Cash On Delivery,Free Shipping,Delivered,4.0,2022-05,0,-0.4414988664987464,-1.4517774004520863,74.69,0,0,2022.0,2.0,21,0,142.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,4,1,4,1,1
