order_id,customer_id,customer_name,customer_email,age,gender,country,order_date,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,payment_method,shipping_method,order_status,rating
ORD-01496,CUST-0189,Arthur Ellis,fgutierrez@example.net,64.0,Male,Mexico,2023-06-01,PRD-3413,USB Hub,Electronics,1,1068.04,0,1068.04,Debit Card,Overnight,Delivered,4.0
ORD-00544,CUST-0275,Michael Green,Unknown,31.0,Male,Mexico,2023-12-20,PRD-4145,Python for Beginners,Books,5,13.1,0,65.5,Debit Card,Express,Delivered,
ORD-01269,CUST-0229,Kimberly Dudley,Unknown,30.0,Female,Canada,2023-10-12,PRD-4148,Data Science Handbook,Books,4,28.69,25,86.07000000000001,Debit Card,Free Shipping,Returned,5.0
ORD-00529,CUST-0115,Anna Reilly,robert33@example.org,60.0,Male,Colombia,2023-10-24,PRD-9948,Jacket,Clothing,1,29.43,0,29.43,Credit Card,Overnight,Delivered,
ORD-01095,CUST-0352,Robert Hanson,patriciagilbert@example.org,41.0,Male,USA,2023-05-07,PRD-2122,Coffee Maker,Home & Kitchen,4,125.88,10,453.168,Cash On Delivery,Free Shipping,Delivered,4.0
ORD-00808,CUST-0010,Audrey Terrell,hallison@example.com,20.0,Male,Argentina,2022-08-01,PRD-3710,Protein Powder,Sports,2,169.83,20,271.728,Paypal,Express,Delivered,2.0
ORD-01377,CUST-0255,Arthur Shields,amanda81@example.org,33.0,Male,Germany,2022-08-30,PRD-8929,Running Shoes,Sports,4,116.52,0,466.08,Bank Transfer,Unknown,Shipped,1.0
ORD-00603,CUST-0195,Steven Chang,iwest@example.org,26.0,Male,USA,2023-03-25,PRD-2758,Tablet,Electronics,2,1063.92,5,2021.448,Cash On Delivery,Free Shipping,Cancelled,4.0
ORD-01204,CUST-0227,Alan Fletcher,fordkendra@example.org,63.0,Other,Colombia,2022-01-04,PRD-7809,SQL Mastery,Books,1,18.05,0,18.05,Credit Card,Standard,Delivered,
ORD-01175,CUST-0254,Jason Pitts,juan68@example.com,28.0,Other,Germany,2023-12-15,PRD-9229,Headphones,Electronics,1,525.22,15,446.437,Debit Card,Free Shipping,Delivered,5.0
ORD-00429,CUST-0005,Amber Sanchez,Unknown,46.0,Female,Argentina,2023-02-02,PRD-9512,Smartwatch,Electronics,1,583.22,5,554.059,Debit Card,Express,Processing,5.0
